Marka,Model,Değerlendirme Sayısı,Soru-Cevap Sayısı,Değerlendirme Puanı,Fiyat,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Çözünürlük,Ekran Yenileme Hızı,Ekran Kartı,Ekran Boyutu,Kullanım Amacı,Cihaz Ağırlığı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Çözünürlük Standartı,Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,Garanti Tipi,Bağlantılar,Ekran Kartı Bellek Tipi,Temel İşlemci Hızı (GHz),Klavye,Maksimum İşlemci Hızı (GHz),Garanti Süresi,Renk,Kapasite,İşlemci Frekansı,Power Supply,Optik Sürücü Tipi,HDMI,Okula Dönüş,Beden,Şarjlı Kullanım Süresi,Ekran Kartı Gücü,Soket Tipi
MONSTER,"Abra A5 V21.4.1 Intel Core i7 12700H 16 GB RAM 1 TB SSD 6 GB RTX 3050 Windows 11 15,6"" FHD 144 Hz",1,3,5.0,36.829 TL,Intel Core i7,16 GB,1 TB,Windows,1920 x 1080,144 Hz,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 kg ve altı,Harici,6 GB,12700H,14,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,Monster Türkiye Garantili,USB - Bluetooth - HDMI,GDDR6,2.3,Q Türkçe + Numerik (RGB Aydınlatmalı),4.7,2 Yıl,Siyah,60W,4-6 Saat,,,,,,,,
ACER,"Nitro 5 Intel Core i5-12450H 8GB 1TB SSD RTX3050 FreeDos 15.6"" 144Hz Gaming Laptop NH.QFJEY.009",9,31,3.8,23.929 TL,Intel Core i5,8 GB,1 TB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,12450H,8,12. Nesil,HDD Yok,Yok,Full HD,Full HD (FHD),DDR4,8 GB,ACER Türkiye Garantili,HDMI,GDDR6,,Q Türkçe,,2 Yıl,siyah,,,,,,,,,,
RAMTECH,"Dg-i5-900 Ekstra I5-9400f 16ram 480ssd Gt730-4gb 24"" Led Dual Monitör Gamıng Pc",2,14,5.0,,Intel Core i5,16 GB,480 GB,Free Dos,1920 x 1080,,Nvidia GeForce GT 730,"24"" / 61 Ekran",,4 kg ve üzeri,Harici,4 GB ve altı,,6,,HDD Yok,,,Full HD (FHD),DDR4,32 GB,Resmi Distribütör Garantili,VGA,DDR4,2.9,Q Türkçe,,2 Yıl,,,,Yok,Yok,350 - 500 W,Var,2.50 GHz - 3.00 GHz,,,
Apple,"Macbook Air M2 8c Cpu 10c Gpu 512gb Ssd 13"" Yıldız Işığı Dizüstü Bilgisayar Mly23tu/a",45,83,4.6,41.199 TL,,8 GB,512 GB,Mac Os,2550 x 1600,Belirtilmemiş,M2 8 Çekirdekli,13 inç,Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,HDD Yok,Yok,,Ultra HD 4K (UHD),DDR4,,Apple Türkiye Garantili,Bluetooth,Belirtilmemiş,,Q Türkçe,,2 Yıl,Çok Renkli,,,Yok,,,,,,,
RAMTECH,TREND X70 İ5 9400F 32GB RAM 960GB SSD RX580 8GB 23.6 165HZ MONİTÖR OYUNCU MASAÜSTÜ BİLGİSAYAR,7,49,5.0,19.699 TL,Intel Core i5,32 GB,1 TB,Free Dos,1920 x 1080,165 Hz,AMD Radeon RX 580,22 - 24 inç,,2 - 4 kg,Harici,8 GB,,6,,HDD Yok,,,Full HD (FHD),DDR4,64 GB,Resmi Distribütör Garantili,,DDR5,2.9,RGB,,2 Yıl,,,,Yok,64 GB,350 - 500 W,Var,2.50 GHz - 3.00 GHz,,,
CASPER,Excalibur G870.1245-BFG0X-B i5-12450H 16GB RAM 1TB NVMe SSD GEN4 4GB RTX2050 DOS GAMING LAPTOP,16,6,4.7,27.399 TL,Intel Core i5,16 GB,1 TB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 2050,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,12450H,8,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,Casper Türkiye Garantili,USB - Bluetooth - HDMI,GDDR6,,Q Türkçe (RGB Aydınlatmalı),,2 Yıl,Gri,,,,,,,,,,
CASPER,Excalibur G870.1270-DVB0X-B Core i7-12700H 32GB RAM 500GB NVMe SSD 8GB RTX4060 DOS GAMING LAPTOP,7,3,4.4,42.499 TL,Intel Core i7,32 GB,500 GB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,2 - 4 kg,Harici,8 GB,12700H,14,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,Casper Türkiye Garantili,Bluetooth,GDDR6,Belirtilmemiş,Q Türkçe + Numerik (RGB Aydınlatmalı),4.7,2 Yıl,Gri,,6 Saat ve Üstü,,,,,,,,
Zeiron,"Prime X90 Ryzen 5 5500 32GB 1TB M.2 SSD RTX3050 23.8"" 165Hz Oyuncu Masaüstü Bilgisayar Uyumlu",104,436,4.8,,AMD Ryzen 5,32 GB,1 TB,Free Dos,1920 x 1080,165 Hz,Nvidia GeForce RTX 3050,"24"" / 61 Ekran",,4 kg ve üzeri,Harici,8 GB,,6,,HDD Yok,,VA,Full HD (FHD),DDR4,64 GB,Zeiron Türkiye Garantili,Wi-Fi,GDDR6,3.6,RGB,,2 Yıl,,,,Yok,1 TB,500 W ve üstü,Var,3.00 GHz üstü,,,
CASPER,Nirvana C550.1235-BF00X-G-F Intel Core i5-1235U 16GB RAM 1TB NVME SSD Freedos,11,11,4.4,18.099 TL,Intel Core i5,16 GB,1 TB,Free Dos,1920 x 1080,60 Hz,Dahili Ekran Kartı,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1235U,10,12. Nesil,HDD Yok,Yok,,Full HD (FHD),DDR4,,Casper Türkiye Garantili,USB - Bluetooth - HDMI,DDR4,,Q Türkçe + Numerik (Aydınlatmalı),,2 Yıl,Gri,,,,,,,,,,
ASUS,Rog Strix Scar 18 G834jyr-n6098 16gb Rtx4090 14. Nesil I9-14900hx 32gb Ram 2tb Ssd 18 Wqxga 240hz,5,8,4.8,161.999 TL,Intel Core i9,32 GB,2 TB,Free Dos,2560 x 1600,240 Hz,Nvidia GeForce RTX 4090,18 inç,Oyun,2 - 4 kg,Harici,16 GB,14900HX,24,14. Nesil,HDD Yok,Yok,IPS,2.5K,DDR5,,Asus Türkiye Garantili,Bluetooth - HDMI,GDDR6,,Q Türkçe,,2 Yıl,Siyah,,,,,,,,,,
Zeiron,"Sirius X32 i5 3470 16GB 512GB SSD GTX1050Ti 23.8"" 165Hz Oyuncu Masaüstü Bilgisayar",61,206,4.8,14.875 TL,Intel Core i5,16 GB,512 GB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce GTX1050 Ti,"24"" / 61 Ekran",,4 kg ve üzeri,Harici,4 GB ve altı,,4,,HDD Yok,,VA,Full HD (FHD),DDR3,16 GB,Zeiron Türkiye Garantili,HDMI,GDDR5,3.2,RGB,,2 Yıl,,,,Yok,512 GB,350 - 500 W,Var,3.00 GHz üstü,,,
Zeiron,"M101 Intel Core i5-3470 3,20Ghz 8GB Ram 256GB SSD 18,5'' Full Takım Masaüstü Bilgisayar",167,1855,4.2,7.699 TL,Intel Core i5,8 GB,SSD Yok,Free Dos,1366 x 768,60 Hz,Intel HD Graphics,"19"" / 48 Ekran",Ev - Okul,4 kg ve üzeri,Dahili,Paylaşımlı,İ5-3470,4,3. Nesil,,Yok,TN,HD Ready (HD),DDR3,16 GB,Zeiron Türkiye Garantili,VGA,DDR3,3.2,Q Türkçe,,2 Yıl,Siyah,,,Yok,500 GB,250 - 350 W,Var,3.00 GHz üstü,,LGA 1155,Evde Eğitim
Apple,"15-inch MacBook Air: Apple M2 chip with 8-core CPU and 10-core GPU, 256GB - Starlight",32,34,4.8,42.999 TL,Apple M2,8 GB,256 GB,Mac Os,2880 x 1800,120 Hz,M2 10 Çekirdekli,15 inç,Ofis - İş,2 kg ve altı,Dahili,8 GB,Belirtilmemiş,8,2. Nesil,256 GB,Yok,,QHD,LPDDR5,,Apple Türkiye Garantili,Bluetooth,DDR5,,Q Türkçe (Aydınlatmalı),,2 Yıl,Altın,,,,,,,,,,
ASUS,"Rog Strıx Scar G18 G834jy-n6041 Intel I9-13980hx 32gb Ddr5 2tb Ssd 16gb Rtx4090 18"" 240hz Dos",2,10,3.0,,Intel Core i9,32 GB,2 TB,Free Dos,2560 x 1600,240 Hz,Nvidia GeForce RTX 4090,18 inç,Oyun,2 - 4 kg,Harici,16 GB,13980HX,24,13. Nesil,HDD Yok,Yok,IPS,WQXGA,DDR5,,Asus Türkiye Garantili,HDMI,GDDR6X,2.2,Q Türkçe + Numerik (RGB Aydınlatmalı),+5,2 Yıl,SİYAH,175W,4-6 Saat,,,,,,,,
RAMTECH,Fairytale White Ryzen 7 5700x 32Gb Rgb Ram 4060 8Gb 1Tb M2 Nvme Beyaz Gaming Bilgisayar,2,18,5.0,,AMD Ryzen 7,32 GB,1 TB,Free Dos,1920 x 1080,,Nvidia GeForce RTX 4060,,,4 kg ve üzeri,Harici,8 GB,,8,,HDD Yok,,TN,Ultra HD 4K (UHD),DDR4,64 GB,Resmi Distribütör Garantili,USB,GDDR6,3.4,Yok,,2 Yıl,,,,Yok,1 TB,500 W ve üstü,Var,3.00 GHz üstü,,,
TURBOX,Tx2615 I7 2600 16gb Ram 512gb Ssd 23.8'' Lenovo Monitör Masaüstü Ev Ofis Bilgisayarı,1,9,5.0,9.999 TL,Intel Core i7,16 GB,512 GB,Free Dos,,,Intel HD Graphics,,,,,,2600,,,,,,,,,Resmi Distribütör Garantili,,Dahili,,Q Türkçe,,2 Yıl,Çok Renkli,,,Yok,512 GB,,,,,,
HP,Victus 16-R0072NT 8W8A4EA i7-13700H 16GB RAM 1TB SSD 8GB GeForce RTX 4070 16.1 inç FHD FreeDOS,3,8,5.0,,Intel Core i7,16 GB,1 TB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 4070,"16,1 inç",Oyun,2 - 4 kg,Harici,8 GB,13700H,14,13. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR5,,HP Türkiye Garantili,Bluetooth - HDMI,GDDR6,,Q Türkçe (Aydınlatmasız),,2 Yıl,Siyah,,,,,,,,,,
RAMTECH,"Fullforce Ff60 Intel I5 4570 16gb Ram 256gb Ssd 500gb Hdd 4gb Ekran Kartı 23,6"" Oyuncu Masaüstü Pc",20,390,4.2,9.999 TL,Intel Core i5,16 GB,256 GB,Free Dos,1920 x 1080,75 Hz,Nvidia Geforce GT 740,"24"" / 61 Ekran",,4 kg ve üzeri,Harici,4 GB ve altı,,4,,500 GB,,VA,Full HD (FHD),DDR3,16 GB,Resmi Distribütör Garantili,HDMI,DDR3,3.2,Q Türkçe,,2 Yıl,,,,Yok,500 GB,350 - 500 W,Var,3.00 GHz üstü,,,
TURBOX,Tx1290 I5 3470 16gb Ram 256gb Ssd 4gb Ekran Kartı Masaüstü Oyun Bilgisayarı,26,271,4.1,4.999 TL,Intel Core i5,16 GB,128 GB,Free Dos,,,AMD Radeon R7 240,,,4 kg ve üzeri,Harici,4 GB ve altı,,4,,HDD Yok,,,,DDR3,16 GB,Resmi Distribütör Garantili,HDMI,DDR3,3.2,Yok,,2 Yıl,Çok Renkli,,,Yok,500 GB,250 - 350 W,Var,3.00 GHz üstü,,,
LENOVO,"LOQ Intel Core i5-12450HX 16gb 512gb Ssd RTX™ 3050 6GB 15,6"" Gaming Laptop 83GS008GTR",44,147,4.4,28.999 TL,Intel Core i5,16 GB,512 GB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,6 GB,12450H,8,12. Nesil,HDD Yok,Yok,Full HD,Full HD (FHD),DDR5,32 GB,Lenovo Türkiye Garantili,USB - Bluetooth - HDMI,GDDR6,Belirtilmemiş,Q Türkçe (Aydınlatmalı),4.4,2 Yıl,Ay Grisi,95W,4-6 Saat,,,,,,,,
RAMTECH,"BF ROG PLUS İ5-9400F 16RAM 480SSD GTX750Tİ-4GB 23,6 CURVED GAMING PC",8,82,4.4,17.499 TL,Intel Core i5,16 GB,480 GB,Free Dos,1920 x 1080,,Nvidia GeForce GTX750 Ti,22 - 24 inç,,4 kg ve üzeri,Harici,4 GB ve altı,,6,,HDD Yok,,,Full HD (FHD),DDR4,32 GB,Resmi Distribütör Garantili,VGA,DDR5,2.9,Q Türkçe,,2 Yıl,,,,Yok,Yok,350 - 500 W,Var,2.50 GHz - 3.00 GHz,,,
CASPER,Excalibur G870.1270-BVB0X-B i7-12700H 16GB 500GB NVMe SSD 8GB RTX4060 DOS GAMING LAPTOP,11,4,5.0,40.799 TL,Intel Core i7,16 GB,500 GB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,2 - 4 kg,Harici,8 GB,12700H,14,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,Casper Türkiye Garantili,Bluetooth,GDDR6,Belirtilmemiş,Q Türkçe + Numerik (RGB Aydınlatmalı),4.7,2 Yıl,Gri,,6 Saat ve Üstü,,,,,,,,
Zeiron,"Damage X50 Ryzen 7 5700X 32GB 1TB M.2 RTX4060Ti Sıvı Soğutmalı 27"" 240Hz Oyuncu Bilgisayarı",6,50,4.8,42.445 TL,AMD Ryzen 7,16 GB,1 TB,Free Dos,3840 x 2160,240 Hz,Nvidia GeForce RTX 4060Ti,25 + inç,,4 kg ve üzeri,Harici,8 GB,,8,,HDD Yok,,VA,Full HD (FHD),DDR4,64 GB,Zeiron Türkiye Garantili,Display Port,GDDR6,3.4,Yok,,2 Yıl,,,,Yok,1 TB,500 W ve üstü,Var,3.00 GHz üstü,,,
HP,Victus 16-R0071NT 8V898EA i7-13700H 32GB RAM 1TB SSD 8GB GeForce RTX 4070 16.1 inç FHD FreeDOS,3,7,5.0,54.299 TL,Intel Core i7,32 GB,1 TB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 4070,"16,1 inç",Oyun,2 - 4 kg,Harici,8 GB,13700H,14,13. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR5,,Resmi Distribütör Garantili,Bluetooth - HDMI,GDDR6,,Q Türkçe (Aydınlatmasız),,2 Yıl,Siyah,,,,,,,,,,
Zeiron,"Wizard X70 Ryzen 5 5600x 32gb 256gb M.2 Ssd 1tb Rtx3050 24"" 165hz Oyuncu Masaüstü Bilgisayarı",129,481,4.5,26.999 TL,256 GB,32 GB,1 TB,AMD Ryzen 5,"24"" / 61 Ekran",Harici,6,64 GB,3.00 GHz üstü,DDR4,500 W ve üstü,8 GB,Free Dos,GDDR6,Display Port,4 kg ve üzeri,1920 x 1080,Full HD (FHD),Nvidia GeForce RTX 3050,3.7,Yok,VA,Var,Zeiron Türkiye Garantili,RGB,165 Hz,2 Yıl,1 TB,,,,,,,,,,,
Apple,"Macbook Air M3 Çip 8gb 256gb Ssd Macos 15"" Taşınabilir Bilgisayar Yıldız Işığı Mryr3tu/a",1,1,1.0,56.349 TL,256 GB,8 GB,,,"15,4 inç",Dahili,8,,,LPDDR5,,Paylaşımlı,Mac Os,Belirtilmemiş,USB-C,2 kg ve altı,2880 x 1620,QHD,M3,,,,,Apple Türkiye Garantili,Q Türkçe,Belirtilmemiş,2 Yıl,HDD Yok,Ofis - İş,Belirtilmemiş,Belirtilmemiş,Yok,Bej,,,,,,,,
CASPER,Excalibur G770.1270-BVJ0X-B i7-12700H 16GB RAM 500GB SSD 4GB RTX3050 DOS GAMING LAPTOP,12,22,4.6,32.299 TL,500 GB,16 GB,,Intel Core i7,"15,6 inç",Harici,10,64 GB,,DDR4,,4 GB ve altı,Free Dos,GDDR6,Bluetooth,2 - 4 kg,1920 x 1080,Full HD (FHD),Nvidia GeForce RTX 3050,2.3,,IPS,,Casper Türkiye Garantili,Q Türkçe,144 Hz,2 Yıl,HDD Yok,Oyun,12700H,12. Nesil,Yok,Siyah,4.7,,,,,,,
RAMTECH,PRİZMA X60 RYZEN 5 5600 / 32GB RAM/6650XT 8GB /1TB NVME M2 SSD 23.6\'\' 1MS 165HZ CURVED BİLGİSAYARI,9,37,4.6,,1 TB,32 GB,64 GB,AMD Ryzen 5,22 - 24 inç,Harici,6,64 GB,3.00 GHz üstü,DDR4,500 W ve üstü,8 GB,Free Dos,GDDR6,,,1920 x 1080,,AMD Radeon RX6600XT,3.6,Yok,,Var,Resmi Distribütör Garantili,Q Türkçe,165 Hz,2 Yıl,HDD Yok,,,,,,,,,,,,,
HP,Elitebook 640 G9 I5 1235 -14''-16g-512ssd-dos,5,11,5.0,22.330 TL,512 GB,16 GB,,Intel Core i5,14 inç,Dahili,10,,,DDR4,,Paylaşımlı,Free Dos,Belirtilmemiş,HDMI,Belirtilmemiş,1920 x 1080,Full HD (FHD),Intel Iris Graphics,Belirtilmemiş,Yok,IPS,,Resmi Distribütör Garantili,Q Türkçe,Belirtilmemiş,2 Yıl,HDD Yok,Ofis - İş,1235U,12. Nesil,Yok,Gümüş,4.4,,,,,,,
Zeiron,"Star X50 i5-3470 16GB 128GB SSD+500GB HDD Rx550 4GB 23.8"" Curved Oyuncu Masaüstü Bilgisayar",30,297,4.3,12.300 TL,128 GB,16 GB,1 TB,Intel Core i5,"24"" / 61 Ekran",Harici,4,16 GB,3.00 GHz üstü,DDR3,500 W ve üstü,4 GB ve altı,Free Dos,DDR3,HDMI,4 kg ve üzeri,1920 x 1080,Full HD (FHD),AMD Radeon RX 550,3.2,Yok,VA,Var,Zeiron Türkiye Garantili,RGB,75 Hz,2 Yıl,,,,,,Siyah,,Evde Eğitim,Tek Ebat,,,,,
LENOVO,Loq 15arp9 83jc006atrv2 Ryzen 7-7435hs 24gb 1tb Ssd Rtx4050 15.6 Inç 144hz Fhd Fdos Gaming Laptop,1,7,3.0,,1 TB,16 GB,,AMD Ryzen 7,"15,6 inç",Harici,8,4 GB,,DDR5,,6 GB,Free Dos,GDDR6,USB - Bluetooth - HDMI,Belirtilmemiş,1920 x 1080,Full HD (FHD),Nvidia GeForce RTX 4050,,,IPS,,Resmi Distribütör Garantili,Q Türkçe,144 Hz,2 Yıl,HDD Yok,Oyun,Belirtilmemiş,7. Nesil,Yok,Siyah,,,,,,,,
RAMTECH,Office X120 I5 12400f 16gb Ram 256gb M2 Ssd 500gb Hdd R5 230 E. Kartı Ofis Bilgisayarı,2,2,4.5,11.194 TL,240 GB,16 GB,500 GB,Intel Core i5,,Harici,6,64 GB,2.50 GHz - 3.00 GHz,DDR4,180 - 250 W,,Free Dos,DDR3,HDMI,,1920 x 1080,Full HD (FHD),AMD Radeon R5 230,2.5,Yok,TN,Var,Resmi Distribütör Garantili,Yok,,2 Yıl,500 GB,Ofis - İş,12400F,12. Nesil,Yok,Siyah,,,,LGA 1700,Gen 3,,,
Huawei,MateBook D14 2024 Intel Core i5-12450H 16GB 512GB W11 LAPTOP+MOUSE (HUAWEİ TÜRKİYE GARANTİLİ),1,9,4.0,26.489 TL,512 GB,16 GB,,Intel Core i5,14 inç,Dahili,8,4 TB,,DDR4,,Paylaşımlı,Windows,Dahili,HDMI - USB,2 kg ve altı,1920 x 1080,Full HD (FHD),Intel UHD Graphics,4,Yok,IPS,,Huawei Türkiye Garantili,Q Türkçe,120 Hz,2 Yıl,512 GB,Ofis - İş,12450H,12. Nesil,Yok,Gri,4.4,,,,,4-6 Saat,CH,
LENOVO,Ideapad 3 Celeron N4020 1.1ghz-4g 128 Gb Sdd 4gb Taşınabilir Bilgisayar 20284057,193,436,4.5,8.889 TL,128 GB,4 GB,,Intel Celeron,"15,6 inç",Dahili,2,128 GB,,DDR4,,4 GB ve altı,Windows,DDR4,Bluetooth - USB,2 kg ve altı,1366 x 768,Full HD (FHD),Nvidia GeForce MX130,2.8,Yok,,,Resmi Distribütör Garantili,Q Türkçe,Belirtilmemiş,2 Yıl,128 GB,Ofis - İş,N4000,8. Nesil,Yok,Gri,,,,,,,,
Apple,Macbook Air M3 Çip 8gb 512gb Ssd Macos 13 Taşınabilir Bilgisayar Uzay Grisi Mxcr3tu/a,1,15,5.0,55.849 TL,512 GB,8 GB,,,"13,6 inç",Dahili,8,,,LPDDR5,,Paylaşımlı,Mac Os,Belirtilmemiş,USB-C,2 kg ve altı,2560 x 1664,QHD,M3,,,,,Apple Türkiye Garantili,Q Türkçe,Belirtilmemiş,2 Yıl,HDD Yok,Ofis - İş,Belirtilmemiş,Belirtilmemiş,Yok,Gri,,,,,,,,
MONSTER,"Tulpar T7 V20.8.4 Intel Core i7 12700H 16 GB RAM 1 TB SSD 8 GB RTX 4060 FreeDOS 17,3"" FHD 144 Hz",11,15,4.9,47.899 TL,1 TB,16 GB,,Intel Core i7,"17,3 inç",Harici,14,16 GB,,DDR4,,8 GB,Free Dos,GDDR6,USB - Bluetooth - HDMI,2 - 4 kg,1920 x 1080,Full HD (FHD),Nvidia GeForce RTX 4060,2.3,,IPS,,Monster Türkiye Garantili,Q Türkçe + Numerik (RGB Aydınlatmalı),144 Hz,2 Yıl,HDD Yok,Oyun,12700H,12. Nesil,Yok,Siyah,4.7,,,,,4-6 Saat,,140W
MSI,"CYBORG 15 A12VF-675XTR i7 12650H 16GB 512GB SSD RTX4060 Freedos 15.6"" FHD 144Hz ANZAR",2,7,5.0,45.699 TL,512 GB,16 GB,,Intel Core i7,"15,6 inç",Dahili,24,,,DDR5,,8 GB,Free Dos,GDDR6,HDMI,2 kg ve altı,1920 x 1080,Full HD (FHD),Nvidia GeForce RTX 4060,,,TN,,MSI Türkiye Garantili,Q Türkçe (Aydınlatmalı),144 Hz,2 Yıl,HDD Yok,Oyun,12650H,12. Nesil,Yok,Siyah,,,,,,,,
DRAGOS,DRx6144 Ryzen 7 5700X 32GB Ram 1TB M.2 NVMe SSD 8GB RTX4060Ti Sıvı Soğutmalı Oyuncu Bilgisaya,3,36,5.0,"37.372,73 TL",1 TB,32 GB,1 TB,AMD Ryzen 7,,Harici,8,,,,,,Free Dos,GDDR6,,,,,Nvidia GeForce RTX 4060Ti,,Yok,,,Resmi Distribütör Garantili,,,2 Yıl,HDD Yok,,,,,,,,,,,,,
LENOVO,V15 I7-1255u 24gb 1tb M.2ssd 82tt0055tx Atl42 15.6'' W11pro Notebook Çanta&mouse,1,1,5.0,25.499 TL,1 TB,24 GB,,Intel Core i7,"15,6 inç",Dahili,10,,,DDR4,,Paylaşımlı,Windows,Dahili,HDMI - USB,2 kg ve altı,1920 x 1080,Full HD (FHD),Intel Iris Graphics,,,,,Resmi Distribütör Garantili,Q Türkçe,Belirtilmemiş,2 Yıl,HDD Yok,Ofis - İş,1255U,12. Nesil,Yok,Siyah,,,,,,,,
Apple,Macbook Pro M3 Pro 18c Gpu 36gb 512gb Ssd 16 Inç Uzay Siyah Mrw23tu/a,2,8,5.0,126.349 TL,512 GB,36 GB,,,16 inç,Dahili,12+,,,Birleşik Bellek,,Paylaşımlı,Mac Os,Dahili,USB-C,2 kg ve altı,3024 x 1964,Retina,M3,,,,,Apple Türkiye Garantili,Q Türkçe (Aydınlatmalı),120 Hz,2 Yıl,HDD Yok,Ofis - İş,M3,3. Nesil,Yok,Siyah,,,,,,6 Saat ve Üstü,,
Zeiron,"Damage X50 Ryzen 7 5700X 32GB 1TB M.2 RTX4060Ti Sıvı Soğutmalı 27"" 240Hz Oyuncu Bilgisayarı",6,51,4.8,42.445 TL,1 TB,16 GB,1 TB,AMD Ryzen 7,25 + inç,Harici,8,64 GB,3.00 GHz üstü,DDR4,500 W ve üstü,8 GB,Free Dos,GDDR6,Display Port,4 kg ve üzeri,3840 x 2160,Full HD (FHD),Nvidia GeForce RTX 4060Ti,3.4,Yok,VA,Var,Zeiron Türkiye Garantili,Yok,240 Hz,2 Yıl,HDD Yok,,,,,,,,,,,,,
MONSTER,"Semruk S7 V9.1.1 Intel Core i7 13700HX 32 GB RAM 1 TB SSD 8 GB RTX 4060 Windows 11 17"" QHD+ 240 Hz",2,7,5.0,84.799 TL,1 TB,32 GB,,Intel Core i7,17 inç,Harici,16,32 GB,,DDR5,,8 GB,Windows,GDDR6,USB - Bluetooth - HDMI,2 - 4 kg,2560 x 1600,QHD+,Nvidia GeForce RTX 4060,2.1,,IPS,,Monster Türkiye Garantili,Q Türkçe + Numerik (RGB Aydınlatmalı),240 Hz,2 Yıl,HDD Yok,Oyun,13700HX,13. Nesil,Yok,Siyah,5.0,,,,,3 Saat ve Altı,,140W
ASUS,Rog Strix Scar 18 G834jyr-n6098 16gb Rtx4090 14. Nesil I9-14900hx 32gb Ram 2tb Ssd 18 Wqxga 240hz,5,8,4.8,161.999 TL,2 TB,32 GB,,Intel Core i9,18 inç,Harici,24,,,DDR5,,16 GB,Free Dos,GDDR6,Bluetooth - HDMI,2 - 4 kg,2560 x 1600,2.5K,Nvidia GeForce RTX 4090,,,IPS,,Asus Türkiye Garantili,Q Türkçe,240 Hz,2 Yıl,HDD Yok,Oyun,14900HX,14. Nesil,Yok,Siyah,,,,,,,,
LENOVO,"LOQ 83GS007WTR18 i5-12450HX 16GB 512SSD RTX4050 15.6"" FHD W11P Dizüstü Bilgisayar-CNT019",2,3,5.0,,512 GB,16 GB,,Intel Core i5,"15,6 inç",Harici,8,64 GB,,DDR5,,6 GB,Windows,GDDR6,USB - Bluetooth - HDMI,2 kg ve altı,1920 x 1080,Full HD (FHD),Nvidia GeForce RTX 4050,,,IPS,,Resmi Distribütör Garantili,Q Türkçe (Aydınlatmalı),144 Hz,2 Yıl,HDD Yok,Oyun,Belirtilmemiş,12. Nesil,Yok,Çok Renkli,,,,,,,,
DMC,"N149x (PUBG,GTA 5) I5-2500,16gb Ram,500gb Hdd,256gb Ssd,4gb Gtx1650,oyuncu Masaüstü Bilgisayarı",26,143,5.0,10.894 TL,256 GB,16 GB,500 GB,Intel Core i5,,Harici,4,,,DDR3,350 - 500 W,4 GB ve altı,Windows,GDDR5,HDMI,,,,Nvidia GeForce GTX 1650,3.3,Yok,,Var,Resmi Distribütör Garantili,,,2 Yıl,500 GB,,,,,,,,,,,,,
IZOLY,"Swift X I5-3470 8gb 256gb Ssd 22"" Masaüstü Bilgisayar",33,140,4.7,6.199 TL,256 GB,8 GB,Yok,Intel Core i5,22 inç,Dahili,4,16 GB,3.00 GHz üstü,DDR3,250 - 350 W,Paylaşımlı,Free Dos,Dahili,HDMI,4 kg ve üzeri,1920 x 1080,Full HD (FHD),Dahili Ekran Kartı,3.2,Yok,VA,Var,Resmi Distribütör Garantili,Q Türkçe,75 Hz,2 Yıl,8 GB,Ofis - İş,İ5-3470,3. Nesil,Yok,Siyah,,,,,,,,
ACER,Nitro 5 An515-58-59p9 Intel I5-12450 İşlemci 8gb Ram 1tbssd 6gb Nvidia Geforce 4050 Ekran Kartı,1,8,5.0,32.500 TL,1 TB,8 GB,,Intel Core i5,"15,6 inç",Dahili,2,8 GB,,Belirtilmemiş,,Paylaşımlı,Windows,Belirtilmemiş,Bluetooth,2 - 4 kg,1920 x 1080,Full HD (FHD),Nvidia GeForce RTX 4050,,,IPS,,ACER Türkiye Garantili,Q Türkçe,144 Hz,2 Yıl,HDD Yok,Oyun,12450H,11. Nesil,Yok,Renkli,,,,,,,,
