Marka,Model,Değerlendirme Sayısı,Soru-Cevap Sayısı,Değerlendirme Puanı,Fiyat,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Çözünürlük,Ekran Yenileme Hızı,Ekran Kartı,Ekran Boyutu,Kullanım Amacı,Cihaz Ağırlığı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Çözünürlük Standartı,Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,Garanti Tipi,Bağlantılar,Ekran Kartı Bellek Tipi,Temel İşlemci Hızı (GHz),Klavye,Maksimum İşlemci Hızı (GHz),Garanti Süresi,Renk,Kapasite,İşlemci Frekansı,Power Supply,Optik Sürücü Tipi,HDMI,Okula Dönüş,Beden,Şarjlı Kullanım Süresi,Ekran Kartı Gücü,Soket Tipi
ASUS,Vivobook 15 12.Nesil Core i5 1235U-16Gb-512Gb Ssd-15.6inc-W11,16,65,4.4,20.999 TL,Intel Core i5,16 GB,512 GB,Windows,1920 x 1080,Belirtilmemiş,Intel UHD Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1235U,10,12. Nesil,512 GB,Yok,,Full HD (FHD),DDR4,,Asus Türkiye Garantili,USB - Bluetooth - HDMI,Dahili,,Q Türkçe,,2 Yıl,Gri,,,,,,,,,,
MONSTER,"Abra A5 V20.4.4 Intel Core i5 12450H 16 GB RAM 1 TB SSD 6 GB RTX 4050 FreeDos 15,6"" FHD 144 Hz",111,164,4.8,35.104 TL,Intel Core i5,16 GB,1 TB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,2 - 4 kg,Harici,6 GB,12450H,8,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,32 GB,Monster Türkiye Garantili,USB - Bluetooth - HDMI,GDDR6,2,Q Türkçe + Numerik (Aydınlatmalı),4.4,2 Yıl,Siyah,,,,,,,,3 Saat ve Altı,105W,
HP,250 G10 Intel Core i5-1335U 32GB 1 TB SSD 15.6'' Windows 11 PRO 8A538EATT043,1,15,5.0,"23.999,99 TL",Intel Core i5,32 GB,1 TB,Windows,1920 x 1080,60 Hz,Dahili Ekran Kartı,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1335U,10,13. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,,Resmi Distribütör Garantili,USB - Bluetooth - HDMI,Dahili,3.4,Q Türkçe (Aydınlatmalı),,2 Yıl,Gümüş,,,,Yok,,,,,,
Huawei,"Matebook D16 2024 Intel Core i5 12450H 8GB 512GB SSD Freedos 16"" IPS Taşınabilir Bilgisayar",6,35,3.5,17.999 TL,Intel Core i5,8 GB,512 GB,Free Dos,1920 x 1200,Belirtilmemiş,Intel UHD Graphics,16 inç,Ofis - İş,Belirtilmemiş,Dahili,Paylaşımlı,12450H,8,Belirtilmemiş,512 GB,Yok,,Full HD (FHD),Birleşik Bellek,,Resmi Distribütör Garantili,USB,Belirtilmemiş,,Q Türkçe,,2 Yıl,Gri,,,,,,,,,,
HP,"Pavilion 15-EH3011NT AMD Ryzen 5-7530U 8GB 512GB DOS 15.6"" FHD Gümüş Laptop (HP Türkiye Garantili)",40,65,4.6,14.999 TL,AMD Ryzen 5,8 GB,512 GB,Free Dos,1920 x 1080,60 Hz,Dahili Ekran Kartı,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,7520U,6,7. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,,HP Türkiye Garantili,USB - Bluetooth - HDMI,Dahili,,Q Türkçe + Numerik (Aydınlatmalı),4.5,2 Yıl,Gümüş,,,,,,,,,,
LENOVO,Ryzen 5-5500U 8GB 256GB SSD 15.6 FHD FreeDos 82R400S7TX,1,7,5.0,10.729 TL,AMD Ryzen 5,8 GB,256 GB,Free Dos,1920 x 1080,Belirtilmemiş,Dahili Ekran Kartı,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,5500U,6,5. Nesil,HDD Yok,Yok,,Full HD (FHD),DDR4,,Lenovo Türkiye Garantili,Bluetooth - HDMI,Dahili,,Q Türkçe,,2 Yıl,Siyah,,,,,,,,,,
ACER,"Aspire 3 AMD Ryzen 3-7320U 8GB 512GB SSD 15.6"" FHD DOS Dizüstü Bilgisayar (Acer Türkiye Garantili)",123,182,4.5,10.799 TL,AMD Ryzen 3,8 GB,512 GB,Free Dos,1920 x 1080,60 Hz,AMD Radeon Graphics,"15,6 inç",Ev - Okul,2 kg ve altı,Dahili,Paylaşımlı,7320U,4,7. Nesil,HDD Yok,Yok,,Full HD (FHD),LPDDR5,,ACER Türkiye Garantili,HDMI,Dahili,2.4,Q Türkçe (Aydınlatmasız),,2 Yıl,Gümüş,,,,,,,,,,
ASUS,TUF Gaming A15 FA506NC-HN048 Ryzen 5 7535HS 8GB RAM 512GB SSD 4GB RTX3050 15.6 inç FHD 144Hz,5,52,5.0,26.010 TL,AMD Ryzen 5,8 GB,512 GB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,7535HS,6,7. Nesil,HDD Yok,Yok,Full HD,Full HD (FHD),DDR5,,Resmi Distribütör Garantili,Bluetooth - HDMI,GDDR6,,Q Türkçe (Aydınlatmalı),,2 Yıl,Siyah,,,,,,,,,,
LENOVO,"LOQ Intel Core i5-12450HX 16GB 512GB SSD 6GB RTX4050 15.6"" FHD IPS DOS Gaming Laptop 83GS002TTR",9,32,4.9,29.999 TL,Intel Core i5,16 GB,512 GB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,2 - 4 kg,Harici,6 GB,12450H,8,12. Nesil,HDD Yok,Yok,Full HD,Full HD (FHD),DDR5,32 GB,Lenovo Türkiye Garantili,USB - Bluetooth - HDMI,GDDR6,3.1,Q Türkçe,4.4,2 Yıl,Luna Gri,,,,,,,,6 Saat ve Üstü,105W,
ACER,Nitro V NH.QNCEY.00132 Intel Core i5 13420H 32GB 512GB SSD RTX3050 Freedos 15.6'' FHD ANV15,1,9,5.0,,Intel Core i5,32 GB,512 GB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,6 GB,13420H,8,13. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR5,128 GB,ACER Türkiye Garantili,USB - Bluetooth - HDMI,GDDR6,,Q Türkçe,,2 Yıl,Siyah,,,,,,,,,,
LENOVO,LOQ 83GS007WTR16 Intel Core i5 12450HX 16GB 512GB SSD RTX 4050 Freedos 15.6'' FHD Bilgisayar,5,53,5.0,31.339 TL,Intel Core i5,16 GB,512 GB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,2 - 4 kg,Harici,6 GB,Belirtilmemiş,8,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR5,16 GB,Resmi Distribütör Garantili,USB - Bluetooth - HDMI,GDDR6,,Q Türkçe,,2 Yıl,Siyah,,,,,,,,,,
Huawei,Matebook 14 Intel® Core™ i5-1240P Processor 16Gb 512 GB Intel® Iris® Xe Graphics 14 Windows 1,23,44,4.3,"29.399,02 TL",Intel Core i5,16 GB,512 GB,Windows,2160 x 1440,144 Hz,Intel Iris Graphics,"15,6 inç",Ev - Okul,2 kg ve altı,Dahili,16 GB,Belirtilmemiş,12+,4. Nesil,512 GB,Var,,HD Ready (HD),LPDDR4,,Huawei Türkiye Garantili,Bluetooth,DDR4,,Q Türkçe (Aydınlatmasız),,2 Yıl,Siyah,,,,Yok,,,,,,
ACER,"Aspire 3 A315-58-34G6 İntel Core i3-1115G4 8GB RAM, 256GB SSD, 15,6"", FreeDOS, NX.ADDEY.00G",49,76,4.5,8.994 TL,Intel Core i3,8 GB,256 GB,Free Dos,1920 x 1080,60 Hz,Intel HD Graphics,"15,6 inç",Ev - Okul,2 kg ve altı,Dahili,Paylaşımlı,1115G4,2,11. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,16 GB,ACER Türkiye Garantili,USB,Dahili,4,Q Türkçe (Aydınlatmasız),4.0,2 Yıl,Gümüş,,,,Yok,,,,3 Saat ve Altı,,
HP,"15s-fq2043nt Dizüstü Bilgisayar i31115g4 8gb ram 256gb ssd freedos 15,6 inç",5,18,3.8,8.899 TL,Intel Core i3,8 GB,256 GB,Free Dos,1920 x 1080,Belirtilmemiş,Intel UHD Graphics,"15,6 inç",Ofis - İş,2 - 4 kg,Dahili,Paylaşımlı,1115G4,2,11. Nesil,HDD Yok,Yok,,Full HD (FHD),DDR4,,HP Türkiye Garantili,Bluetooth - USB,Belirtilmemiş,,Q Türkçe,,2 Yıl,Gri,,,,,,,,,,
Dell,"G15-5530 Intel Core i7-13650HX 16GB 512GB SSD RTX3050 6GB 15.6"" FHD 120Hz Ubuntu Gaming Laptop",22,37,4.5,29.899 TL,Intel Core i7,16 GB,512 GB,Free Dos,1920 x 1080,120 Hz,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,6 GB,13650HX,24,13. Nesil,HDD Yok,Yok,VA,Full HD (FHD),DDR5,16 GB,Dell Türkiye Garantili,USB - Bluetooth - HDMI,GDDR6,,Q Türkçe (Aydınlatmalı),,2 Yıl,Siyah,,,,,,,,,,
HP,"Laptop 15 Dizüstü Bilgisayar, 15,6 inç FHD, Ryzen 5 7520U, 8 GB Ram, 256 GB SSD, FreeDos 7P6K2EA",11,25,4.2,11.748 TL,AMD Ryzen 5,8 GB,256 GB,Free Dos,1920 x 1080,90 Hz,AMD Radeon Graphics,"15,6 inç",Ofis - İş,2 - 4 kg,Dahili,Paylaşımlı,7520U,4,5. Nesil,HDD Yok,Yok,,Full HD (FHD),LPDDR5,8 GB,HP Türkiye Garantili,USB - Bluetooth - HDMI,DDR5,,Q Türkçe (Aydınlatmasız),4.3,2 Yıl,Siyah,,,,,,,,,,
HP,250 G9 9M3G5AT I5-1235U 8GB 512GB SSD FHD 15.6'' FDOS NOTEBOOK,4,14,5.0,12.999 TL,Intel Core i5,8 GB,512 GB,Free Dos,1920 x 1080,Belirtilmemiş,Intel XE Graphics,"15,6 inç",Ofis - İş,2 - 4 kg,Dahili,Paylaşımlı,1235U,10,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,32 GB,Resmi Distribütör Garantili,HDMI - USB,Dahili,3.3,Q Türkçe,1.6,2 Yıl,Gri,,,,Yok,,,,3 Saat ve Altı,,
MONSTER,"Huma H4 V5.1.5 Intel Core I5-1235u 8 Gb Ram 500 Gb Ssd Windows 11 14,1"" Fhd Rose Gold",30,56,4.8,28.379 TL,Intel Core i5,8 GB,500 GB,Windows,1920 x 1080,60 Hz,Intel Iris Graphics,"14,1 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1235U,10,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,Monster Türkiye Garantili,USB - Bluetooth - HDMI,Dahili,1.3,Q Türkçe (Aydınlatmalı),4.4,2 Yıl,Pembe,,,,Yok,,,,4-6 Saat,,
HP,"255 G8 7N4W2AA05 Ryzen5 5500U 16GB 1TBSSD 15.6"" FullHD W11H Taşınabilir Bilgisayar",5,27,5.0,16.999 TL,AMD Ryzen 5,16 GB,1 TB,Windows,1920 x 1080,60 Hz,AMD Radeon Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,5500U,6,5. Nesil,HDD Yok,Yok,,Full HD (FHD),DDR4,,Resmi Distribütör Garantili,USB - Bluetooth - HDMI,SD,,Q Türkçe + Numerik (Aydınlatmasız),,2 Yıl,Gri,,,,,,,,,,
LENOVO,Ideapad Slim 3 12.Nesil Core i5 12450H-8Gb-512Gb Ssd-15.6inc-W11,75,201,4.6,"16.435,19 TL",Intel Core i5,8 GB,512 GB,Windows,1920 x 1080,Belirtilmemiş,Intel UHD Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,Belirtilmemiş,8,12. Nesil,512 GB,Yok,,HD Ready (HD),DDR5,,Resmi Distribütör Garantili,USB,Belirtilmemiş,,Q Türkçe,,2 Yıl,Gri,,,,,,,,,,
Honor,"Magicbook 16 Amd Ryzen 5 5600h 16gb 512gb Ssd W11 Home 16.1"" Fhd Taşınabilir Bilgisayar",33,57,4.6,33.999 TL,AMD Ryzen 5,16 GB,512 GB,Windows,1920 x 1080,60 Hz,AMD Radeon Graphics,"16,1 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,5600H,6,Belirtilmemiş,512 GB,Yok,IPS,Full HD (FHD),DDR4,,Resmi Distribütör Garantili,USB,Belirtilmemiş,3.3,Q Türkçe,4.2,2 Yıl,Gri,,,,Yok,,,,6 Saat ve Üstü,,
